a	prefix	not, without	Greek	abiogenesis,abiotic,abranchiate,abysmal	v:3	a-1(1)=not, without | a-3(3)=to, toward | a-2(2)=on	c:2	an
ab	prefix	from, away from	Latin	abbreviate,abbreviation,abdicate,abduct	v:1	ab-(0)=from, away from	c:0	abs
ability	suffix	ability to do, be, or undergo	Latin	accountability,capability,eligibility,immobility	v:1	-ability(0)=ability to do, be, or undergo	c:0	ibility/bility/ubility
able	suffix	capable of being, doing, or undergoing	Latin	acceptable,accessible,admissible,adorable	v:1	-able(0)=capable of being, doing, or undergoing	c:0	ible/ble
ably	suffix	in the manner or way indicated by the adjective	Latin	considerably,inevitably,possibly,probably	v:1	-ably(0)=in the manner or way indicated by the adjective	c:0	ibly
ac	root	sharp, bitter, sour	Latin	acerbic,acerbity,acid,acidic	v:3	ac(0)=sharp, bitter, sour | ac-(0)=to, toward | -ac(0)=in adjectives: of or pertaining to; resembling; in nouns: someone afflicted with;	c:4	acr/acer
aceous	suffix	resembling, related to, made of, or, in biological science, belonging to (a taxonomic class)	Latin	amylaceous,argillaceous,bulbaceous,capillaceous	v:1	-aceous(0)=resembling, related to, made of, or, in biological science, belonging to (a taxonomic class)	c:0	
acious	suffix	full of, characterized by	Latin	audacious,capacious,fallacious,loquacious	v:1	-acious(0)=full of, characterized by	c:0	
acro	root	high, extremity, tip	Greek	acrobat,acrobatics,acrogen,acromegaly	v:1	acro(0)=high, extremity, tip	c:0	
act	root	do, drive	Latin	action,activate,active,actively	v:1	act(0)=do, drive	c:0	ag
ad	prefix	to, toward	Latin	adapt,add,addict,addiction	v:2	ad-(0)=to, toward | -ad(0)=group (of a certain number indicated by the base)	c:2	ade
aer	root	air, gas	Greek	aerate,aerial,aerobatics,aerobe	v:1	aer(0)=air, gas	c:0	aero
af	prefix	to, toward	Latin	affect,affection,afferent,affiance	v:1	af-(0)=to, toward	c:0	
ag	prefix	to, toward	Latin	agglomerate,agglutinate,aggrandize,aggravate	v:1	ag-(0)=to, toward	c:0	
age	suffix	act, process, or result of (the action indicated by the verb base)	Latin	advantage,assemblage,bondage,breakage	v:1	-age(0)=act, process, or result of (the action indicated by the verb base)	c:0	
agogue	root	leader	Greek	demagogue,demagoguery,isagoge,pedagogue	v:1	agogue(0)=leader	c:0	agog/agogy
agr	root	field, farm, crop	Latin	agrarian,agribusiness,agriculture,agrobiology	v:1	agr(0)=field, farm, crop	c:0	agro/agri
al	suffix	act or result of	Latin	accrual,acquittal,appraisal,approval	v:3	-al1(1)=act or result of | -al2(2)=pertaining to | al-(0)=to, toward	c:3	ial/ual
alg	root	pain	Greek	analgesia,analgesic,arthralgia,coxalgia	v:1	alg(0)=pain	c:0	algo/algia
ali	root	other, foreign	Latin	alias,alibi,alien,alienate	v:1	ali(0)=other, foreign	c:0	
allo	root	other, different	Greek	allergy,allogamy,allomerism,allomorph	v:1	allo(0)=other, different	c:0	all
alt	root	high	Latin	altimeter,altitude,alto,altocumulus	v:1	alt(0)=high	c:0	alti/alto
alter	root	other; change	Latin	alter,alterant,alterative,altercate	v:1	alter(0)=other; change	c:0	altern/altr
am	root	love, friendship	Latin	amateur,amateurish,amatory,amiable	v:1	am(0)=love, friendship	c:0	ama/amor
amb	root	walk	Latin	ambition,amble,ambulance,ambulatory	v:1	amb(0)=walk	c:0	ambl/ambul
ambi	prefix	both, on both sides, around	Latin	ambiance,ambidextrous,ambience,ambient	v:1	ambi-(0)=both, on both sides, around	c:0	
amphi	prefix	both, on both sides, around	Greek	amphibian,amphibious,amphibole,amphiprostyle	v:1	amphi-(0)=both, on both sides, around	c:0	ampho
an	prefix	to, toward	Latin	annex,annihilate,annotate,announce	v:2	an-2(2)=to, toward | -an(0)=in adjectives: from (a place) or pertaining to or following (a figure or school of thought); in nouns: person or thing from (a place) or associated with (an activity or school of thought).	c:2	ian/ean
ana	prefix	up; against; back	Greek	Anabaptist,anabatic,anabiosis,anabolism	v:1	ana-(0)=up; against; back	c:0	
